candle_end_time,open,high,low,close,amount,info
2005-08-29,888.10,888.10,875.15,878.99,33786575.90,{}
2005-08-30,877.83,880.01,874.66,875.32,28062671.83,{}
2005-08-31,875.29,890.21,872.16,890.21,33804761.80,{}
2005-09-01,891.01,907.99,888.97,907.99,50352540.59,{}
2005-09-02,909.33,912.62,905.43,912.50,43788671.10,{}
2005-09-05,913.89,920.53,910.81,920.53,38872171.59,{}
2005-09-06,921.46,925.70,901.07,902.57,49809160.62,{}
2005-09-07,900.73,922.03,900.52,922.03,43437341.80,{}
2005-09-08,923.76,927.38,916.36,924.09,47486253.04,{}
2005-09-09,923.93,926.43,914.15,916.53,33674522.59,{}
2005-09-12,915.87,919.46,912.97,918.47,24629731.21,{}
2005-09-13,918.02,935.00,918.02,935.00,36927382.95,{}
2005-09-14,934.10,943.11,933.51,943.11,47111848.86,{}
2005-09-15,941.31,945.41,938.74,943.99,39395927.47,{}
2005-09-16,943.04,944.19,938.10,942.49,33290400.75,{}
2005-09-19,941.93,949.93,941.01,949.93,36150156.60,{}
2005-09-20,949.37,950.18,935.67,942.14,45810853.46,{}
2005-09-21,937.77,939.61,925.89,926.03,45813116.37,{}
2005-09-22,923.55,923.55,890.49,900.71,42978917.32,{}
2005-09-23,903.02,903.02,891.12,891.46,28262007.34,{}
2005-09-26,890.73,895.30,887.62,895.30,20997433.65,{}
2005-09-27,895.72,897.57,879.39,879.67,26353473.96,{}
2005-09-28,878.55,885.39,875.79,878.08,21867722.28,{}
2005-09-29,878.32,892.88,878.32,892.88,27096489.58,{}
2005-09-30,893.37,894.32,889.91,892.57,21843761.06,{}
2005-10-10,892.44,892.44,881.56,881.75,17515554.67,{}
2005-10-11,880.93,896.94,878.32,896.94,20364410.40,{}
2005-10-12,897.51,905.65,893.85,902.75,27467431.94,{}
2005-10-13,902.89,904.86,896.95,897.12,24915383.10,{}
2005-10-14,896.68,896.85,885.37,886.96,23148464.40,{}
2005-10-17,885.59,885.59,877.52,883.72,22752055.05,{}
2005-10-18,883.50,892.38,883.50,892.38,27270125.53,{}
2005-10-19,892.13,897.43,886.08,887.39,28012355.27,{}
2005-10-20,887.03,887.69,876.14,887.69,28089941.71,{}
